id,name,latitude,longitude,city,address,connector_type,charger_class,power_kw,price_per_kwh,cost_description,operating_hours,phone_number,connectivity_tier,verification_status,google_place_id,google_maps_url,google_rating,google_rating_count,source,scraped_at,is_public,plugshare_id,plugshare_url,plugshare_score,is_already_listed,listing_status,duplicate_match_reason,existing_match_name
plugshare_114162,Dolmen Mall Clifton Parking,24.802669,67.030514,Karachi,"Karachi, Sindh",Type 2,AC,,,Charge Now account,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.802669,67.030514",,6,scraped,2026-08-25T10:33:49.178Z,true,114162,https://www.plugshare.com/location/114162,,false,new,New location,
plugshare_1025904,GoGreen Charger Ocean Mall,24.823889,67.035556,Karachi,"Karachi, Sindh","CHAdeMO, CCS2",DC,,,130RS/KW ,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.823889,67.035556",,,scraped,2026-08-25T10:33:51.387Z,true,1025904,https://www.plugshare.com/location/1025904,,false,new,New location,
plugshare_348068,Shell Recharge (Askari-4),24.900367,67.116774,Karachi,"Karachi, Sindh","CHAdeMO, CCS2",DC,,,101/kWh ,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.900367,67.116774",,11,scraped,2026-08-25T10:33:54.029Z,true,348068,https://www.plugshare.com/location/348068,,true,listed,Location proximity (3m from Shell EV Charging — Askari IV Gulistan-e-Johar),Shell EV Charging — Askari IV Gulistan-e-Johar
plugshare_633968,Aram Bagh,24.85800735024819,67.01574124395847,Karachi,"Karachi, Sindh",Type 3,AC,,,Unspecified,2,+92 335 1241624,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.85800735024819,67.01574124395847",,2,scraped,2026-08-25T10:33:56.307Z,true,633968,https://www.plugshare.com/location/633968,,false,new,New location,
plugshare_856120,Crown Warehouse,24.902117747993515,66.99829515069723,Karachi,"Karachi, Sindh",Wall (BS1363),AC,,,Pkr 50 per unit,9 To 6,+92 333 3037123,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.902117747993515,66.99829515069723",,,scraped,2026-08-25T10:33:58.651Z,true,856120,https://www.plugshare.com/location/856120,,false,new,New location,
plugshare_1523281,Karachi Water and Sewerage Corporation,24.8715436,67.0906386,Karachi,"Karachi, Sindh","Wall (Euro), Type 2",AC,,,free,24,+92 321 8231678,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.8715436,67.0906386",,1,scraped,2026-08-25T10:34:01.311Z,true,1523281,https://www.plugshare.com/location/1523281,,false,new,New location,
plugshare_1239377,Unnamed Charger,24.815607924934223,67.07202974706888,Karachi,"Karachi, Sindh",Type 2,AC,,,Unspecified,Hours not listed,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.815607924934223,67.07202974706888",,,scraped,2026-08-25T10:34:03.808Z,true,1239377,https://www.plugshare.com/location/1239377,,false,new,New location,
plugshare_1025912,Go Petroleum- Libra Auto,24.853880259638938,67.02682129769745,Karachi,"Karachi, Sindh","CHAdeMO, CCS2",DC,,,true,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.853880259638938,67.02682129769745",,2,scraped,2026-08-25T10:34:06.309Z,true,1025912,https://www.plugshare.com/location/1025912,,true,listed,Location proximity (2m from GO Petroleum - Libra Autos),GO Petroleum - Libra Autos
plugshare_1239410,Shell Charging Station,24.81760605947274,67.06536445766687,Karachi,"Karachi, Sindh","CCS2, Type 2",DC,,,100pkrs,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.81760605947274,67.06536445766687",,1,scraped,2026-08-25T10:34:08.810Z,true,1239410,https://www.plugshare.com/location/1239410,,false,new,New location,
plugshare_1291616,CSD Petrol Pump,24.852860191997685,67.05301276824792,Karachi,"Karachi, Sindh",CCS2,DC,,,Rs 120 per kw,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.852860191997685,67.05301276824792",,,scraped,2026-08-25T10:34:11.810Z,true,1291616,https://www.plugshare.com/location/1291616,,false,new,New location,
plugshare_1672442,Zvolta Charging Station,24.86472840174726,67.0710499964455,Karachi,"Karachi, Sindh",Wall,AC,,,true,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.86472840174726,67.0710499964455",,1,scraped,2026-08-25T10:34:14.811Z,true,1672442,https://www.plugshare.com/location/1672442,,false,new,New location,
plugshare_1672543,Zvolta Charging Station - Ignite,24.813393429846943,67.02391760973758,Karachi,"Karachi, Sindh",Wall,AC,,,true,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.813393429846943,67.02391760973758",,,scraped,2026-08-25T10:34:17.810Z,true,1672543,https://www.plugshare.com/location/1672543,,false,new,New location,
plugshare_1766005,Crown CEM Flagship Showroom,24.85971734442729,67.06130941532943,Karachi,"Karachi, Sindh",Wall (Euro),AC,,,Crown Free Charging,9AM-10PM,+92 326 8463562,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.85971734442729,67.06130941532943",,,scraped,2026-08-25T10:34:20.279Z,true,1766005,https://www.plugshare.com/location/1766005,,true,listed,Location proximity (216m from ZVolta — PECHS Shahr-e-Faisal),ZVolta — PECHS Shahr-e-Faisal
plugshare_1672508,Zvolta Charging Station -Tipu Sultan,24.872885930584083,67.08236565273894,Karachi,"Karachi, Sindh",Wall,AC,,,true,24/7 Public Access,,listed,unverified,,"https://www.google.com/maps/search/?api=1&query=24.872885930584083,67.08236565273894",,,scraped,2026-08-25T10:34:22.810Z,true,1672508,https://www.plugshare.com/location/1672508,,false,new,New location,
