brand,model,vehicle_type,battery_capacity_kwh,range_km,ac_charging_kw,dc_charging_kw,connector,price_pkr,url,source,scraped_at
Nora,Nora EV,BEV,23.1,450,,,,2099999,https://www.noraevtech.com/,www.noraevtech.com,2026-08-16T11:06:07.631Z
BMW,BMW iX,BEV,,701,,,,,https://www.bmw-pakistan.com/models/new-ix/,www.bmw-pakistan.com,2026-08-16T11:06:09.040Z
BYD,Atto 2,BEV,45.12,380,,,,,https://www.byd-mega.com/vehicles/atto-2,www.byd-mega.com,2026-08-16T11:06:09.074Z
BYD,Shark,PHEV,,800,,,,19950000,https://www.byd-mega.com/vehicles/shark,www.byd-mega.com,2026-08-16T11:06:09.251Z
BYD,Atto 3,BEV,49.92,410,,88,,8990000,https://www.byd-mega.com/vehicles/atto-3,www.byd-mega.com,2026-08-16T11:06:09.367Z
BYD,Seal,BEV,82.56,650,,,,14790000,https://www.byd-mega.com/vehicles/seal,www.byd-mega.com,2026-08-16T11:06:09.379Z
BYD,Sealion 7,BEV,82.56,567,,,,,https://www.byd-mega.com/vehicles/sealion-7,www.byd-mega.com,2026-08-16T11:06:09.479Z
JMEV,JMEV Elight,BEV,,500,,80,,8499000,https://capitalsmartmotors.pk/vehicles/jmev-elight/,capitalsmartmotors.pk,2026-08-16T11:06:09.587Z
JMEV,JMEV EV3,BEV,30,330,,,,4899000,https://capitalsmartmotors.pk/vehicles/jmev-ev3/,capitalsmartmotors.pk,2026-08-16T11:06:09.709Z
Riddara,Riddara RD6,BEV,,461,,,,13299000,https://capitalsmartmotors.pk/vehicles/riddara-rd6/,capitalsmartmotors.pk,2026-08-16T11:06:09.717Z
Zeekr,Zeekr X,BEV,,440,,,,17990000,https://capitalsmartmotors.pk/vehicles/zeekr-x/,capitalsmartmotors.pk,2026-08-16T11:06:09.822Z
Zeekr,Zeekr 009,BEV,,582,,,,45999000,https://capitalsmartmotors.pk/vehicles/zeekr-009/,capitalsmartmotors.pk,2026-08-16T11:06:10.055Z
Forthing,Forthing Friday,REEV,,150,,,,8999000,https://capitalsmartmotors.pk/vehicles/forthing-friday/,capitalsmartmotors.pk,2026-08-16T11:06:10.092Z
BMW,BMW iX1,BEV,,438,,,,,https://www.bmw-pakistan.com/models/the-ix1/,www.bmw-pakistan.com,2026-08-16T11:06:10.886Z
BMW,BMW iX2,BEV,,477,,,,,https://www.bmw-pakistan.com/models/the-new-ix2/,www.bmw-pakistan.com,2026-08-16T11:06:10.909Z
BMW,BMW iX3,BEV,,,,,,,https://www.bmw-pakistan.com/models/the-ix3/,www.bmw-pakistan.com,2026-08-16T11:06:11.472Z
Audi,Audi RS e-tron GT,BEV,,472,,,,,https://www.audi.com.pk/en/models/audi-e-tron-gt/audi-rs-etron-gt/,www.audi.com.pk,2026-08-16T11:06:11.631Z
Kaiyi,Kaiyi e-Qute 04,BEV,,,,,,,https://nexgenhitech.com.pk/kaiyi-e-qute04/,nexgenhitech.com.pk,2026-08-16T11:06:17.038Z
KIA,KIA Sorento PHEV,PHEV,13.8,66,3.3,,,,https://kia-luckymotorcorp.com/showroom/the-all-new-sorento-phev/,kia-luckymotorcorp.com,2026-08-16T11:06:17.535Z
KIA,KIA Sportage L Hybrid,HEV,1.49,,,,,,https://kia-luckymotorcorp.com/showroom/the-all-new-sportage-l/,kia-luckymotorcorp.com,2026-08-16T11:06:18.250Z
KIA,KIA EV9,BEV,,,,,,,https://kia-luckymotorcorp.com/showroom/ev9/,kia-luckymotorcorp.com,2026-08-16T11:06:19.226Z
